Domande,Risposte
whats the course schedule? ,"Venerdì 13.00 – 16.00, aula 9T
• Lunedì 10.00-13.00, LAIB 3B: lezione nelle settimane in cui non c’è laboratorio
• Laboratori
• Una squadra: lunedì 10.00 – 11.30, LAIB 3B
• Una squadra: lunedì 11.30 – 13.00, LAIB 3B"
whats topics are covered in the database course?," Caratteristiche di un sistema per la gestione di basi di dati (0.3 cfu)
- Caratteristiche del modello relazionale dei dati (0.3 cfu)
- Modello concettuale dei dati (modello Entità-Relazione) e metodologia di progettazione concettuale e logica relazionale di una base di dati (2.5 cfu)
- Linguaggio SQL: istruzioni per la definizione delle basi di dati, delle transazioni e del controllo dell'accesso (0.4 cfu)
- Linguaggio SQL: istruzioni per l’interrogazione delle basi dati (2.5 cfu)"
Can you suggest additional resources for learning SQL?,"w3 school website, Khan Academy - ""Intro to SQL"",  LearnSQL.com"
Who is the professor?,Laura farinetti
what are the book sources for this course?,"Il testo di riferimento, che copre gran parte degli argomenti è: Atzeni, Ceri, Paraboschi, Torlone, 'Basi di dati - Modelli e linguaggi di interrogazione', McGraw Hill.
Il seguente testo è un supporto alle esercitazioni: Baralis, Belussi, Psaila, 'Basi di dati: temi d'esame svolti', Esculapio, 2000.
Sono disponibili copie dei lucidi utilizzati nelle lezioni, esempi di scritti di esame ed esercizi, e i manuali per le esercitazioni di laboratorio. Tutto il materiale didattico è scaricabile da un sito web o attraverso il portale."
explain the exam structure? ,"The written test in the classroom is conducted on paper and consists of: 2 SQL exercises (max 12/30), a conceptual, logical, and referential integrity constraints design exercise (max 13/30). Maximum score: 25/30. Duration: 110 minutes.
Those who have not submitted the quizzes during the semester (or are not satisfied with the result) can take the theory part during the exam (max 5/30), consisting of 5 multiple-choice questions. In this case, the overall duration of the exam will be 120 minutes.
Submitting the theory part during the exam results in the loss of any points obtained during the semester."
are there any extra points?,yes maximum of 4 points by taking part in some activities
how extra points effect the final score?,"Extra Points
These involve optional activities carried out during the semester, allowing for a maximum of 4 points. In particular, the following will be evaluated:
• Participation in certain activities (Q&A Information Retrieval lab, CCT exercises); participation is ""certified"" through submissions by the specified deadline.
• The quality of work done (only for the Q&A Information Retrieval lab)."
are there any lab sessions or practices?,yes there are excersice sessions each week
whats the course objectives?,"The objective of the course is to introduce data base fundamentals: characteristics, design methodologies and query tools.
Laboratory sessions allow experimental activities on the most widespread open-source products."
what are the exam rules?,"The exam consists of a written test and the evaluation of ""formative assessment"" quizzes throughout the semester. Additional points (max 4/30) are available for participating in certain activities (labs and exercises). During the written exam, NO material can be consulted, whether in paper or electronic format."
whats the professors contact information?, +39 0110907044 / 7044   and the email: laura.farinetti@polito.it
